Baseline Points,Energy content (kJ) per 100g or 100mL,Saturated fatty acids (g) per 100g or 100mL,Total sugars (g) per 100g or 100mL,Sodium (mg) per 100g or 100mL
0,0,0,0,0
1,335,1,5,90
2,670,2,9,180
3,1005,3,13.5,270
4,1340,4,18,360
5,1675,5,22.5,450
6,2010,6,27,540
7,2345,7,31,630
8,2680,8,36,720
9,3015,9,40,810
10,3350,10,45,900
11,3686,11.2,49,1005
12,,12.5,54,1121
13,,13.9,58,1251
14,,15.5,63,1397
15,,17.3,67,1559
16,,19.3,72,1740
17,,21.6,76,1942
18,,24.1,81,2168
19,,26.9,85,2420
20,,30,90,2701
21,,33.5,94,3015
22,,37.4,99,3365
23,,41.7,,3756
24,,46.6,,4192
25,,52,,4679
26,,58,,5223
27,,64.7,,5829
28,,72.3,,6506
29,,80.6,,7262
30,,90,,8106